Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Unravelling subclonal heterogeneity and aggressive disease states in TNBC through single-cell RNA-seq.","/pubmed/30181541","Karaayvaz M, Cristea S, Gillespie SM, Patel AP, Mylvaganam R, Luo CC, Specht MC, Bernstein BE, Michor F, Ellisen LW.","Nat Commun. 2018 Sep 4;9(1):3588. doi: 10.1038/s41467-018-06052-0.","Nat Commun.  2018","PubMed","citation","PMID:30181541 | PMCID:PMC6123496","pubmed","30181541","create date:2018/09/06 | first author:Karaayvaz M",
"Genomic Alterations Associated with Recurrence and TNBC Subtype in High-Risk Early Breast Cancers.","/pubmed/30171174","Wilson TR, Udyavar AR, Chang CW, Spoerke JM, Aimi J, Savage HM, Daemen A, O'Shaughnessy JA, Bourgon R, Lackner MR.","Mol Cancer Res. 2019 Jan;17(1):97-108. doi: 10.1158/1541-7786.MCR-18-0619. Epub 2018 Aug 31.","Mol Cancer Res.  2019","PubMed","citation","PMID:30171174","pubmed","30171174","create date:2018/09/02 | first author:Wilson TR",
"Whole exome sequencing of breast cancer (TNBC) cases from India: association of MSH6 and BRIP1 variants with TNBC risk and oxidative DNA damage.","/pubmed/30136158","Aravind Kumar M, Naushad SM, Narasimgu N, Nagaraju Naik S, Kadali S, Shanker U, Lakshmi Narasu M.","Mol Biol Rep. 2018 Oct;45(5):1413-1419. doi: 10.1007/s11033-018-4307-4. Epub 2018 Aug 22.","Mol Biol Rep.  2018","PubMed","citation","PMID:30136158","pubmed","30136158","create date:2018/08/24 | first author:Aravind Kumar M",
"Randomised feasibility trial to compare three standard of care chemotherapy regimens for early stage triple-negative breast cancer (REaCT-TNBC trial).","/pubmed/30040817","Hilton J, Stober C, Mazzarello S, Vandermeer L, Fergusson D, Hutton B, Clemons M.","PLoS One. 2018 Jul 24;13(7):e0199297. doi: 10.1371/journal.pone.0199297. eCollection 2018.","PLoS One.  2018","PubMed","citation","PMID:30040817 | PMCID:PMC6057636","pubmed","30040817","create date:2018/07/25 | first author:Hilton J",
"Leveraging MYC as a therapeutic treatment option for TNBC.","/pubmed/30035166","Carey JPW, Keyomarsi K.","Oncoscience. 2018 Jun 24;5(5-6):137-139. doi: 10.18632/oncoscience.424. eCollection 2018 May. No abstract available. ","Oncoscience.  2018","PubMed","citation","PMID:30035166 | PMCID:PMC6049306","pubmed","30035166","create date:2018/07/24 | first author:Carey JPW",
"Spatially constrained tandem bromodomain inhibition bolsters sustained repression of BRD4 transcriptional activity for TNBC cell growth.","/pubmed/30012592","Ren C, Zhang G, Han F, Fu S, Cao Y, Zhang F, Zhang Q, Meslamani J, Xu Y, Ji D, Cao L, Zhou Q, Cheung KL, Sharma R, Babault N, Yi Z, Zhang W, Walsh MJ, Zeng L, Zhou MM.","Proc Natl Acad Sci U S A. 2018 Jul 31;115(31):7949-7954. doi: 10.1073/pnas.1720000115. Epub 2018 Jul 16.","Proc Natl Acad Sci U S A.  2018","PubMed","citation","PMID:30012592 | PMCID:PMC6077712","pubmed","30012592","create date:2018/07/18 | first author:Ren C",
"Taxol Induces Brk-dependent Prosurvival Phenotypes in TNBC Cells through an AhR/GR/HIF-driven Signaling Axis.","/pubmed/29991529","Regan Anderson TM, Ma S, Perez Kerkvliet C, Peng Y, Helle TM, Krutilina RI, Raj GV, Cidlowski JA, Ostrander JH, Schwertfeger KL, Seagroves TN, Lange CA.","Mol Cancer Res. 2018 Nov;16(11):1761-1772. doi: 10.1158/1541-7786.MCR-18-0410. Epub 2018 Jul 10.","Mol Cancer Res.  2018","PubMed","citation","PMID:29991529 | PMCID:PMC6214723","pubmed","29991529","create date:2018/07/12 | first author:Regan Anderson TM",
"Overexpression of miR-361-5p in triple-negative breast cancer (TNBC) inhibits migration and invasion by targeting RQCD1 and inhibiting the EGFR/PI3K/Akt pathway.","/pubmed/29924958","Han J, Yu J, Dai Y, Li J, Guo M, Song J, Zhou X.","Bosn J Basic Med Sci. 2019 Feb 12;19(1):52-59. doi: 10.17305/bjbms.2018.3399.","Bosn J Basic Med Sci.  2019","PubMed","citation","PMID:29924958 | PMCID:PMC6387672","pubmed","29924958","create date:2018/06/21 | first author:Han J",
"Salidroside inhibits migration, invasion and angiogenesis of MDA‑MB 231 TNBC cells by regulating EGFR/Jak2/STAT3 signaling via MMP2.","/pubmed/29901185","Kang DY, Sp N, Kim DH, Joung YH, Lee HG, Park YM, Yang YM.","Int J Oncol. 2018 Aug;53(2):877-885. doi: 10.3892/ijo.2018.4430. Epub 2018 Jun 5.","Int J Oncol.  2018","PubMed","citation","PMID:29901185","pubmed","29901185","create date:2018/06/15 | first author:Kang DY",
"An Immunosuppressive Role for Eya3 in TNBC.","/pubmed/29884726","[No authors listed]","Cancer Discov. 2018 Aug;8(8):OF8. doi: 10.1158/2159-8290.CD-NB2018-072. Epub 2018 Jun 8.","Cancer Discov.  2018","PubMed","citation","PMID:29884726","pubmed","29884726","create date:2018/06/10",
"TGF-β plays a vital role in triple-negative breast cancer (TNBC) drug-resistance through regulating stemness, EMT and apoptosis.","/pubmed/29792857","Xu X, Zhang L, He X, Zhang P, Sun C, Xu X, Lu Y, Li F.","Biochem Biophys Res Commun. 2018 Jul 7;502(1):160-165. doi: 10.1016/j.bbrc.2018.05.139. Epub 2018 May 24.","Biochem Biophys Res Commun.  2018","PubMed","citation","PMID:29792857","pubmed","29792857","create date:2018/05/25 | first author:Xu X",
"IMP3 promotes TNBC stem cell property through miRNA-34a regulation.","/pubmed/29771420","Huang QD, Zheng SR, Cai YJ, Chen DL, Shen YY, Lin CQ, Hu XQ, Wang XH, Shi H, Guo GL.","Eur Rev Med Pharmacol Sci. 2018 May;22(9):2688-2696. doi: 10.26355/eurrev_201805_14965.","Eur Rev Med Pharmacol Sci.  2018","PubMed","citation","PMID:29771420","pubmed","29771420","create date:2018/05/18 | first author:Huang QD",
"How shall we treat early triple-negative breast cancer (TNBC): from the current standard to upcoming immuno-molecular strategies.","/pubmed/29765774","Park JH, Ahn JH, Kim SB.","ESMO Open. 2018 May 3;3(Suppl 1):e000357. doi: 10.1136/esmoopen-2018-000357. eCollection 2018. Review.","ESMO Open.  2018","PubMed","citation","PMID:29765774 | PMCID:PMC5950702","pubmed","29765774","create date:2018/05/17 | first author:Park JH",
"GPER/Hippo-YAP signal is involved in Bisphenol S induced migration of triple negative breast cancer (TNBC) cells.","/pubmed/29758456","Deng Q, Jiang G, Wu Y, Li J, Liang W, Chen L, Su Q, Li W, Du J, Wong CKC, Chen Z, Wang H.","J Hazard Mater. 2018 Aug 5;355:1-9. doi: 10.1016/j.jhazmat.2018.05.013. Epub 2018 May 8.","J Hazard Mater.  2018","PubMed","citation","PMID:29758456","pubmed","29758456","create date:2018/05/15 | first author:Deng Q",
"Inhibiting PTPN12-Regulated RTKs May Be Therapeutic in TNBC.","/pubmed/29602824","[No authors listed]","Cancer Discov. 2018 May;8(5):530. doi: 10.1158/2159-8290.CD-RW2018-056. Epub 2018 Mar 30.","Cancer Discov.  2018","PubMed","citation","PMID:29602824","pubmed","29602824","create date:2018/04/01",
"The anti-tumor efficacy of CDK4/6 inhibition is enhanced by the combination with PI3K/AKT/mTOR inhibitors through impairment of glucose metabolism in TNBC cells.","/pubmed/29587820","Cretella D, Ravelli A, Fumarola C, La Monica S, Digiacomo G, Cavazzoni A, Alfieri R, Biondi A, Generali D, Bonelli M, Petronini PG.","J Exp Clin Cancer Res. 2018 Mar 27;37(1):72. doi: 10.1186/s13046-018-0741-3. No abstract available. ","J Exp Clin Cancer Res.  2018","PubMed","citation","PMID:29587820 | PMCID:PMC5872523","pubmed","29587820","create date:2018/03/29 | first author:Cretella D",
"The ERβ4 variant induces transformation of the normal breast mammary epithelial cell line MCF-10A; the ERβ variants ERβ2 and ERβ5 increase aggressiveness of TNBC by regulation of hypoxic signaling.","/pubmed/29552303","Faria M, Karami S, Granados-Principal S, Dey P, Verma A, Choi DS, Elemento O, Bawa-Khalfe T, Chang JC, Strom AM, Gustafsson JÅ.","Oncotarget. 2018 Jan 10;9(15):12201-12211. doi: 10.18632/oncotarget.24134. eCollection 2018 Feb 23.","Oncotarget.  2018","PubMed","citation","PMID:29552303 | PMCID:PMC5844739","pubmed","29552303","create date:2018/03/20 | first author:Faria M",
"Discovery of N-(Naphtho[1,2-b]Furan-5-Yl) Benzenesulfonamides as Novel Selective Inhibitors of Triple-Negative Breast Cancer (TNBC).","/pubmed/29547591","Chen Y, Tang Y, Mao B, Li W, Jin H, Zhang L, Liu Z.","Molecules. 2018 Mar 16;23(3). pii: E678. doi: 10.3390/molecules23030678.","Molecules.  2018","PubMed","citation","PMID:29547591 | PMCID:PMC6017705","pubmed","29547591","create date:2018/03/17 | first author:Chen Y",
"Leptin Signaling Mediates Obesity-Associated CSC Enrichment and EMT in Preclinical TNBC Models.","/pubmed/29453319","Bowers LW, Rossi EL, McDonell SB, Doerstling SS, Khatib SA, Lineberger CG, Albright JE, Tang X, deGraffenried LA, Hursting SD.","Mol Cancer Res. 2018 May;16(5):869-879. doi: 10.1158/1541-7786.MCR-17-0508. Epub 2018 Feb 16.","Mol Cancer Res.  2018","PubMed","citation","PMID:29453319 | PMCID:PMC5967653","pubmed","29453319","create date:2018/02/18 | first author:Bowers LW",
"Checkpoint inhibitors in triple-negative breast cancer (TNBC): Where to go from here.","/pubmed/29424936","Kwa MJ, Adams S.","Cancer. 2018 May 15;124(10):2086-2103. doi: 10.1002/cncr.31272. Epub 2018 Feb 9. Review.","Cancer.  2018","PubMed","citation","PMID:29424936","pubmed","29424936","create date:2018/02/10 | first author:Kwa MJ",
"First international TNBC conference meeting report.","/pubmed/29417299","Rida P, Ogden A, Ellis IO, Varga Z, Wolff AC, Traina TA, Hatzis C, Palmer JR, Ambrosone CB, Lehmann BD, Nanda R, Montgomery Rice V, Brawley OW, Torres MA, Rakha E, Aneja R.","Breast Cancer Res Treat. 2018 Jun;169(3):407-412. doi: 10.1007/s10549-018-4692-3. Epub 2018 Feb 8.","Breast Cancer Res Treat.  2018","PubMed","citation","PMID:29417299 | PMCID:PMC5955852","pubmed","29417299","create date:2018/02/09 | first author:Rida P",
"PD-L1 Expression in TNBC: A Predictive Biomarker of Response to Neoadjuvant Chemotherapy?","/pubmed/29387716","Cerbelli B, Pernazza A, Botticelli A, Fortunato L, Monti M, Sciattella P, Campagna D, Mazzuca F, Mauri M, Naso G, Marchetti P, d'Amati G, Costarelli L.","Biomed Res Int. 2017;2017:1750925. doi: 10.1155/2017/1750925. Epub 2017 Dec 14.","Biomed Res Int.  2017","PubMed","citation","PMID:29387716 | PMCID:PMC5745649","pubmed","29387716","create date:2018/02/02 | first author:Cerbelli B",
"STAT3 as a promising chemoresistance biomarker associated with the CD44(+/high)/CD24(-/low)/ALDH(+) BCSCs-like subset of the triple-negative breast cancer (TNBC) cell line.","/pubmed/29352988","Moreira MP, da Conceição Braga L, Cassali GD, Silva LM.","Exp Cell Res. 2018 Feb 15;363(2):283-290. doi: 10.1016/j.yexcr.2018.01.018. Epub 2018 Jan 17.","Exp Cell Res.  2018","PubMed","citation","PMID:29352988","pubmed","29352988","create date:2018/01/22 | first author:Moreira MP",
"I-7ab inhibited the growth of TNBC cells via targeting HDAC3 and promoting the acetylation of p53.","/pubmed/29334665","Yang M, Dang X, Tan Y, Wang M, Li X, Li G.","Biomed Pharmacother. 2018 Mar;99:220-226. doi: 10.1016/j.biopha.2018.01.063.","Biomed Pharmacother.  2018","PubMed","citation","PMID:29334665","pubmed","29334665","create date:2018/01/16 | first author:Yang M",
"The exploration of contrasting pathways in Triple Negative Breast Cancer (TNBC).","/pubmed/29301506","Narrandes S, Huang S, Murphy L, Xu W.","BMC Cancer. 2018 Jan 4;18(1):22. doi: 10.1186/s12885-017-3939-4.","BMC Cancer.  2018","PubMed","citation","PMID:29301506 | PMCID:PMC5753474","pubmed","29301506","create date:2018/01/06 | first author:Narrandes S",
"Long non-coding RNA (LncRNA) RMST in triple-negative breast cancer (TNBC): Expression analysis and biological roles research.","/pubmed/29215701","Wang L, Liu D, Wu X, Zeng Y, Li L, Hou Y, Li W, Liu Z.","J Cell Physiol. 2018 Oct;233(10):6603-6612. doi: 10.1002/jcp.26311. Epub 2018 Apr 17.","J Cell Physiol.  2018","PubMed","citation","PMID:29215701","pubmed","29215701","create date:2017/12/08 | first author:Wang L",
"CLDN6 enhances chemoresistance to ADM via AF-6/ERKs pathway in TNBC cell line MDAMB231.","/pubmed/29159771","Yang M, Li Y, Ruan Y, Lu Y, Lin D, Xie Y, Dong B, Dang Q, Quan C.","Mol Cell Biochem. 2018 Jun;443(1-2):169-180. doi: 10.1007/s11010-017-3221-8. Epub 2017 Nov 20.","Mol Cell Biochem.  2018","PubMed","citation","PMID:29159771","pubmed","29159771","create date:2017/11/22 | first author:Yang M",
"Magnetic resonance (MR) features in triple negative breast cancer (TNBC) vs receptor positive cancer (nTNBC).","/pubmed/29120811","Angelini G, Marini C, Iacconi C, Mazzotta D, Moretti M, Picano E, Morganti R.","Clin Imaging. 2018 May - Jun;49:12-16. doi: 10.1016/j.clinimag.2017.10.016. Epub 2017 Oct 27.","Clin Imaging.  2018","PubMed","citation","PMID:29120811","pubmed","29120811","create date:2017/11/10 | first author:Angelini G",
"Rhizoma Amorphophalli inhibits TNBC cell proliferation, migration, invasion and metastasis through the PI3K/Akt/mTOR pathway.","/pubmed/28962890","Wu C, Qiu S, Liu P, Ge Y, Gao X.","J Ethnopharmacol. 2018 Jan 30;211:89-100. doi: 10.1016/j.jep.2017.09.033. Epub 2017 Sep 27.","J Ethnopharmacol.  2018","PubMed","citation","PMID:28962890","pubmed","28962890","create date:2017/10/01 | first author:Wu C",
"Crosstalk between stromal components and tumor cells of TNBC via secreted factors enhances tumor growth and metastasis.","/pubmed/28947965","Jin K, Pandey NB, Popel AS.","Oncotarget. 2017 Jul 21;8(36):60210-60222. doi: 10.18632/oncotarget.19417. eCollection 2017 Sep 1.","Oncotarget.  2017","PubMed","citation","PMID:28947965 | PMCID:PMC5601133","pubmed","28947965","create date:2017/09/28 | first author:Jin K",
"Microarray-based SNP genotyping to identify genetic risk factors of triple-negative breast cancer (TNBC) in South Indian population.","/pubmed/28918577","Aravind Kumar M, Singh V, Naushad SM, Shanker U, Lakshmi Narasu M.","Mol Cell Biochem. 2018 May;442(1-2):1-10. doi: 10.1007/s11010-017-3187-6. Epub 2017 Sep 16.","Mol Cell Biochem.  2018","PubMed","citation","PMID:28918577","pubmed","28918577","create date:2017/09/18 | first author:Aravind Kumar M",
"Kaiso is highly expressed in TNBC tissues of women of African ancestry compared to Caucasian women.","/pubmed/28887687","Bassey-Archibong BI, Hercules SM, Rayner LGA, Skeete DHA, Smith Connell SP, Brain I, Daramola A, Banjo AAF, Byun JS, Gardner K, Dushoff J, Daniel JM.","Cancer Causes Control. 2017 Nov;28(11):1295-1304. doi: 10.1007/s10552-017-0955-2. Epub 2017 Sep 8.","Cancer Causes Control.  2017","PubMed","citation","PMID:28887687 | PMCID:PMC5681979","pubmed","28887687","create date:2017/09/10 | first author:Bassey-Archibong BI",
